pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 48265 b,HD 48265,12.6,1.13,2351.9302118,7.4,0.211,,,1.814,778.51,G5 IV/V,5733.0,1.901,1.312,Radial Velocity,2008.0,Las Campanas Observatory,90.5446,Gas Giant
HD 48265 c,HD 48265,12.9,1.15,1414.33641115,4.45,0.41,,,10.4,10418.0,G5 IV/V,5805.0,2.05,1.38,Radial Velocity,2026.0,Las Campanas Observatory,90.5446,Gas Giant
HD 48948 b,HD 48948,2.06,0.183,4.88,0.0153542,0.055,957.0,138.85,0.0652,7.34013,K3 V,4593.0,0.679,0.686,Radial Velocity,2024.0,Roque de los Muchachos Observatory,16.9043,Super-Earth
HD 48948 c,HD 48948,2.6,0.232,7.27,0.02287398,0.55,553.0,15.5,0.1951,38.06,K3 V,4593.0,0.679,0.686,Radial Velocity,2024.0,Roque de los Muchachos Observatory,16.9043,Neptunian
HD 48948 d,HD 48948,3.24,0.289,10.59,0.03331987,0.055,349.0,2.46,0.4894,151.92,K3 V,4593.0,0.679,0.686,Radial Velocity,2024.0,Roque de los Muchachos Observatory,16.9043,Neptunian
HD 4917 b,HD 4917,13.5,1.21,513.29545,1.615,0.066,,,1.167,400.5,K0 III/IV,4802.0,5.01,1.32,Radial Velocity,2018.0,W. M. Keck Observatory,204.277,Gas Giant
HD 49674 b,HD 49674,6.2,0.553,31.783,0.1,0.09,,,0.06,4.94737,G5 V,5602.0,1.02,1.03,Radial Velocity,2002.0,W. M. Keck Observatory,43.0399,Gas Giant
HD 50499 b,HD 50499,13.5,1.2,519.96988,1.636,0.266,,,3.833,2447.1,G1 V,6102.0,1.351,1.253,Radial Velocity,2005.0,W. M. Keck Observatory,46.2845,Gas Giant
HD 50499 c,HD 50499,13.2,1.17,931.2419,2.93,0.0,,,9.02,8619.9,G1 V,6099.0,1.42,1.31,Radial Velocity,2019.0,La Silla Observatory,46.2845,Gas Giant
HD 50554 b,HD 50554,12.8,1.14,1859.29618095,5.85,0.501,,,2.353,1293.0,F8 V,5987.0,1.02,1.04,Radial Velocity,2002.0,Lick Observatory,31.1664,Gas Giant
HD 51608 b,HD 51608,3.62,0.323,12.77,0.0402,0.09,,,0.1059,14.0726,G7 V,5358.0,0.916136,0.8,Radial Velocity,2019.0,La Silla Observatory,35.0553,Neptunian
HD 51608 c,HD 51608,3.87,0.346,14.31,0.045,0.14,,,0.3809,95.9446,G7 V,5358.0,0.916136,0.8,Radial Velocity,2019.0,La Silla Observatory,35.0553,Neptunian
HD 52265 b,HD 52265,13.7,1.22,384.5743,1.21,0.27,405.0,,0.52,119.27,G0V,6136.0,1.32,1.204,Radial Velocity,2000.0,W. M. Keck Observatory,29.9803,Gas Giant
HD 5278 b,HD 5278,2.45,0.21857474,7.8,0.02454154,0.08,943.0,132.0,0.1202,14.339156,F V,6203.0,1.194,1.126,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),57.5846,Super-Earth
HD 5278 c,HD 5278,4.49,0.401,18.4,0.05789287,0.07,,,0.2416,40.87,F V,6203.0,1.194,1.126,Radial Velocity,2021.0,Paranal Observatory,57.5846,Neptunian
HD 5319 b,HD 5319,13.5,1.21,494.54348,1.556,0.092,,,1.57,637.1,G5,4871.0,4.06,1.27,Radial Velocity,2007.0,W. M. Keck Observatory,121.405,Gas Giant
HD 5319 c,HD 5319,13.8,1.23,334.67499,1.053,0.183,,,1.93,872.2,G5,4871.0,4.06,1.27,Radial Velocity,2014.0,W. M. Keck Observatory,121.405,Gas Giant
HD 55696 b,HD 55696,12.9,1.16,1357.12729789,4.27,0.705,,,3.18,1827.0,G0 V,6012.0,1.52,1.29,Radial Velocity,2018.0,W. M. Keck Observatory,77.9693,Gas Giant
HD 5583 b,HD 5583,12.8,1.14,1837.0574,5.78,0.076,,,0.53,139.35,,4830.0,9.09,1.01,Radial Velocity,2016.0,Roque de los Muchachos Observatory,219.216,Gas Giant
HD 5608 b,HD 5608,13.7,1.22,371.22357938,1.168,0.11,,,1.79,768.7,K0 IV,4807.0,5.43,1.29,Radial Velocity,2012.0,Okayama Astrophysical Observatory,58.1105,Gas Giant
HD 564 b,HD 564,12.5,1.12,104.88,0.33,0.096,,,1.2,492.3,G2/G3 V,5902.0,1.01,0.961,Radial Velocity,2014.0,La Silla Observatory,51.1659,Gas Giant
HD 56414 b,HD 56414,3.71,0.3309846,13.3,0.0418,0.68,1133.0,257.066,0.229,29.04992,,8500.0,1.751,1.89,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),272.217,Neptunian
HD 56957 b,HD 56957,12.8,1.14,1880.90851263,5.918,0.273,,,6.426,5859.08992,,5743.0,1.77793,1.03,Radial Velocity,2022.0,Multiple Observatories,61.4925,Gas Giant
HD 5891 b,HD 5891,12.6,1.13,2425.0429,7.63,0.07,,,0.64,177.11,G5,4673.0,10.64,1.93,Radial Velocity,2011.0,W. M. Keck Observatory,283.502,Gas Giant
