pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
TOI-2524 b,TOI-2524,11.2089807,1.0,203.41018048,0.64,0.0,1100.0,210.609,0.073,7.18585,,5831.0,1.119,1.007,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),438.842,Gas Giant
TOI-2525 b,TOI-2525,8.67575106,0.774,26.69758619,0.084,0.17,512.97,16.3643,0.1511,23.2856,K8 V,5096.0,0.785,0.849,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),395.398,Gas Giant
TOI-2525 c,TOI-2525,10.13291855,0.904,208.8132634,0.657,0.157,399.96,6.0478,0.249,49.2519,K8 V,5096.0,0.785,0.849,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),395.398,Gas Giant
TOI-2529 b,TOI-2529,11.54525012,1.03,743.71847238,2.34,0.021,636.0,70.9731,0.327,64.5949,,5802.0,1.7,1.11,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),296.271,Gas Giant
TOI-2537 b,TOI-2537,11.25381662,1.004,415.40172795,1.307,0.364,338.0,7.4445,0.3715,94.1022,,4870.0,0.771,0.771,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),184.986,Gas Giant
TOI-2537 c,TOI-2537,12.7,1.13,2297.89938261,7.23,0.287,123.1,,2.78,1920.0,,4870.0,0.771,0.771,Radial Velocity,2024.0,Multiple Observatories,184.986,Gas Giant
TOI-2567 b,TOI-2567,10.92875618,0.975,63.88350981,0.201,0.0,1352.0,558.0,0.0672,5.983944,,5611.0,1.686,1.13,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),504.775,Gas Giant
TOI-257 b,TOI-257,7.16253867,0.639,43.86032017,0.138,0.0,1027.0,186.0,0.1528,18.38818,,6095.0,1.867,1.407,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),76.9028,Gas Giant
TOI-2570 b,TOI-2570,13.64132951,1.217,260.61929374,0.82,0.0,1431.0,699.0,0.04145,2.9887615,,5771.0,1.095,1.063,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),361.857,Gas Giant
TOI-2580 b,TOI-2580,17.37392009,1.55,200.23189641,0.63,0.08,2410.0,1730.0,0.048,3.39775,F,6120.0,1.81,1.33,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),379.253,Gas Giant
TOI-2583 A b,TOI-2583 A,14.4595851,1.29,79.45710175,0.25,0.0,1456.0,750.9,0.0571,4.5207265,,5936.0,1.477,1.215,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),566.189,Gas Giant
TOI-2587 A b,TOI-2587 A,12.07207221,1.077,69.28659273,0.218,0.0,1445.0,728.0,0.0635,5.45664,,5760.0,1.726,1.15,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),373.675,Gas Giant
TOI-2589 b,TOI-2589,12.10569916,1.08,1112.3994245,3.5,0.522,592.0,21.7464,0.3,61.6277,,5579.0,1.07,0.93,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),200.273,Gas Giant
TOI-260 b,TOI-260,1.71,0.15255624,4.23,0.01330907,0.0,493.0,10.1838,0.0943,13.475853,K8 V,4026.0,0.607,0.616,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),20.1852,Super-Earth
TOI-261.01,TOI-261,3.0449863,0.27136114,9.51,0.0299,,1722.49,874.7956,0.034792189,3.3639254,,5890.3,1.28018,0.496728,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),114.495,Neptunian
TOI-262 b,TOI-262,2.07,0.18467335,4.94,0.0155,,584.0,56.9133,0.163,11.14529,K0 V,5310.0,0.853,0.913,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),43.932,Super-Earth
TOI-2641 b,TOI-2641,18.10250383,1.615,122.6817651,0.386,0.18,1387.0,602.0,0.0607,4.880974,F9 V,6100.0,1.336,1.16,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),344.045,Gas Giant
TOI-269 b,TOI-269,2.77,0.24712327,8.8,0.0276879,0.425,531.0,19.0,0.0345,3.6977104,M2 V,3514.0,0.398,0.3917,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),57.0225,Neptunian
TOI-270 b,TOI-270,1.28,0.11419415,1.48,0.0046566,0.0167,600.0,131.7935,0.03197,3.35992,M,3506.0,0.38,0.386,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),22.4793,Terrestrial
TOI-270 c,TOI-270,2.33,0.20786903,6.2,0.01950738,0.0044,489.0,9.9407,0.04526,5.66051,M,3506.0,0.38,0.386,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),22.4793,Super-Earth
TOI-270 d,TOI-270,2.0,0.17842836,4.2,0.01321468,0.0066,383.0,9.2135,0.0721,11.38194,M3 V,3506.0,0.38,0.386,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),22.4793,Super-Earth
TOI-2714 b,TOI-2714,13.72,1.22401852,228.0,0.71736822,0.164,1603.0,945.55,0.036,2.499387,,5665.0,1.25,1.07,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),597.873,Gas Giant
TOI-2768 b,TOI-2768,2.63,0.23463329,7.41,0.0233,,855.0,89.0458,0.027,1.50801,M,4008.0,0.657,0.63,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),78.4525,Neptunian
TOI-277 b,TOI-277,2.65,0.23641757,7.51,0.0236,,587.92,28.236,0.0269,3.994,,4031.0,0.362,0.16,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),64.6692,Neptunian
TOI-2796 b,TOI-2796,17.26183028,1.54,139.84449908,0.44,0.0,1205.0,352.0,0.0569,4.8084983,,5764.0,1.069,1.063,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),350.343,Gas Giant
TOI-2803 A b,TOI-2803 A,18.11371281,1.616,309.88269682,0.975,0.0,1893.0,2150.0,0.03185,1.96229325,,6280.0,1.245,1.118,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),494.818,Gas Giant
TOI-2818 b,TOI-2818,15.27784069,1.363,225.65816897,0.71,0.0,1376.0,598.0,0.0493,4.039709,,5721.0,1.229,0.977,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),312.674,Gas Giant
TOI-283 b,TOI-283,2.34,0.20876118,6.54,0.02057714,0.0,661.0,30.4,0.123,17.61745,K,5213.0,0.85,0.8,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),82.7013,Super-Earth
TOI-2842 b,TOI-2842,12.84549188,1.146,117.59651059,0.37,0.0,1471.0,781.8,0.0475,3.5514058,,5910.0,1.265,1.135,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),460.995,Gas Giant
TOI-286 b,TOI-286,1.42,0.12668413,4.53,0.01425297,0.0,979.0,86.7681,0.0503,4.5117244,K3 V,5152.0,0.78,0.832,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),59.2293,Terrestrial
TOI-286 c,TOI-286,1.88,0.16772265,3.72,0.01170443,0.0,475.0,22.4437,0.213,39.361826,K3 V,5152.0,0.78,0.832,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),59.2293,Super-Earth
TOI-2876 b,TOI-2876,9.6397234,0.86,54.03082919,0.17,0.13,929.0,124.2,0.0654,6.2996431,,5271.0,0.873,0.939,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),225.744,Gas Giant
TOI-2886 b,TOI-2886,18.6405349,1.663,444.9597698,1.4,0.11,1978.0,2560.0,0.02871,1.60200105,,6240.0,1.241,1.229,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),413.673,Gas Giant
TOI-2969 b,TOI-2969,12.32987877,1.1,368.68095212,1.16,0.0,1186.0,382.0,0.0261,1.8237146,K3 V,4738.0,0.7,0.71,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),163.996,Gas Giant
TOI-2977 b,TOI-2977,13.15934334,1.174,533.95172376,1.68,0.0,1544.0,947.8,0.03386,2.3505614,,5691.0,1.073,0.936,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),,Gas Giant
TOI-2981 b,TOI-2981,13.4,1.19546999,638.0,2.00737249,0.035,1358.0,556.616,0.048,3.601501,,5940.0,1.08,1.03,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),527.789,Gas Giant
TOI-2986 b,TOI-2986,9.292245,0.829,96.61983573,0.304,0.14,1622.0,1156.0,0.04489,3.2783662,,5906.0,1.458,1.122,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),563.149,Gas Giant
TOI-2989 b,TOI-2989,12.55405838,1.12,953.485221,3.0,0.0,1001.0,124.0,0.0384,3.122832,K4 V,4672.0,0.76,0.77,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),195.795,Gas Giant
TOI-2992 b,TOI-2992,13.75341932,1.227,1058.36859531,3.33,0.089,1726.0,1484.0,0.0434,3.007812,,6000.0,1.545,1.21,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),542.026,Gas Giant
TOI-3023 b,TOI-3023,16.43236571,1.466,197.05361234,0.62,0.0,1596.0,1084.0,0.0505,3.9014971,,5760.0,1.668,1.12,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),389.916,Gas Giant
TOI-3071 b,TOI-3071,7.16,0.63877351,68.2,0.2145812,0.09,2155.0,2579.61,0.0249,1.266938,,6177.0,1.31,1.29,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),485.219,Gas Giant
TOI-3135 b,TOI-3135,13.65253849,1.218,327.36325921,1.03,0.24,1292.0,464.0,0.04756,3.7065585,,5890.0,0.985,1.044,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),221.673,Gas Giant
TOI-3160 A b,TOI-3160 A,13.7646283,1.228,378.21580433,1.19,0.18,1539.0,933.0,0.0505,3.971281,,6190.0,1.346,1.088,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),567.678,Gas Giant
TOI-3235 b,TOI-3235,11.39953337,1.017,211.35589065,0.665,0.029,604.0,13.8883,0.02709,2.59261842,M V,3388.8,0.3697,0.3939,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),72.811,Gas Giant
TOI-3261 b,TOI-3261,3.82,0.34079816,30.3,0.09533446,0.0,1722.0,1466.0,0.01714,0.8831331,K1.5+/-1,5068.0,0.849,0.861,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),300.141,Neptunian
TOI-3288 b,TOI-3288,11.2089807,1.0,670.61793877,2.11,0.0,1059.0,239.0,0.0215,1.4338635,K9 V,3933.0,0.67,0.64,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),200.5,Gas Giant
TOI-329 b,TOI-329,4.94057819,0.44076962,40.4,0.12711262,0.39,1213.02,576.8749,0.0638,5.70439,,5614.0,1.5326,1.0678,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),284.388,Neptunian
TOI-332 b,TOI-332,3.2,0.28548537,57.2,0.17997133,0.0,1871.0,4180.32,0.0159,0.777038,K0 V,5251.0,0.87,0.88,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),222.852,Neptunian
TOI-3321 b,TOI-3321,15.55806521,1.388,176.07693748,0.554,0.054,1616.0,967.919,0.047,3.6525145,,5850.0,1.549,1.041,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),285.895,Gas Giant
TOI-333 b,TOI-333,4.26,0.3800524,20.1,0.06324167,0.0,1445.0,650.4959,0.049,3.7852503,,6241.0,1.1,1.2,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),352.269,Neptunian
TOI-3331 A b,TOI-3331 A,12.97999965,1.158,721.47048389,2.27,0.0,1488.0,818.5,0.03144,2.0180231,,5609.0,0.952,1.016,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),217.193,Gas Giant
TOI-3353.01,TOI-3353,2.6667555,0.23765421,7.59,0.0239,,1264.36,313.0426,0.060118218,4.6657965,,6365.0,1.0207,1.332089,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),78.7577,Neptunian
TOI-3362 b,TOI-3362,12.80065596,1.142,1598.3590588,5.029,0.815,688.0,37.2117,0.153,18.09547,,6532.0,1.83,1.445,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),366.987,Gas Giant
TOI-3364 b,TOI-3364,12.22899794,1.091,530.77343969,1.67,0.0,1264.0,425.0,0.0675,5.8768918,,5706.0,1.419,1.186,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),277.899,Gas Giant
TOI-3464 b,TOI-3464,13.7646283,1.228,397.28550875,1.25,0.25,1693.0,1370.0,0.0515,3.6515568,,6370.0,1.56,1.363,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),597.774,Gas Giant
TOI-3474 b,TOI-3474,14.67255574,1.309,193.87532827,0.61,0.13,1451.0,740.0,0.0502,3.8795105,,6020.0,1.256,1.121,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),420.123,Gas Giant
TOI-3486 b,TOI-3486,10.5700688,0.943,99.16246298,0.312,0.078,1190.0,334.0,0.03138,2.21778105,,4930.0,0.788,0.837,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),154.715,Gas Giant
TOI-3523 A b,TOI-3523 A,15.9727975,1.425,435.42491759,1.37,0.047,1984.0,2590.0,0.03559,2.30458952,,6450.0,1.448,1.131,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),645.294,Gas Giant
TOI-3540 A b,TOI-3540 A,23.53885947,2.1,375.03752026,1.18,0.0,1498.0,841.3,0.04289,3.119999,,5810.0,1.228,1.081,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),,Gas Giant
TOI-3568 b,TOI-3568,5.3,0.483,26.4,0.083,0.035,899.0,130.1481,0.0485,4.417965,,4969.0,0.719,0.78,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),197.906,Neptunian
TOI-3593 b,TOI-3593,11.02963701,0.984,565.73456446,1.78,0.105,1170.0,308.0,0.0481,3.8212867,,5550.0,0.918,1.015,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),226.63,Gas Giant
TOI-3629 b,TOI-3629,8.29464572,0.74,82.63538582,0.26,0.05,690.0,39.0,0.043,3.936551,M1,3870.0,0.6,0.63,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),130.091,Gas Giant
TOI-3682 b,TOI-3682,12.80065596,1.142,69.28659273,0.218,0.22,1657.0,1258.0,0.048,3.3462406,,5703.0,1.735,1.32,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),404.211,Gas Giant
TOI-3688 A b,TOI-3688 A,13.08088048,1.167,311.47183886,0.98,0.0,1534.0,924.3,0.0456,3.246075,,5950.0,1.302,1.199,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),396.378,Gas Giant
TOI-3693 b,TOI-3693,12.59889431,1.124,324.18497514,1.02,0.0,801.0,68.6,0.0813,9.088516,,5321.0,0.791,0.867,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),176.436,Gas Giant
TOI-3714 b,TOI-3714,11.32107051,1.01,222.4798849,0.7,0.03,750.0,54.0,0.027,2.154849,M2,3660.0,0.51,0.53,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),112.71,Gas Giant
TOI-375 b,TOI-375,10.77183045,0.961,236.78216321,0.745,0.087,1373.0,593.3,0.099,9.45469,,5259.9,2.9,1.441,Transit,2026.0,Transiting Exoplanet Survey Satellite (TESS),396.213,Gas Giant
TOI-375 c,TOI-375,13.4,1.19,669.34662514,2.106,,596.0,21.07,0.524,115.5,,5259.9,2.9,1.441,Radial Velocity,2026.0,Multiple Observatories,396.213,Gas Giant
TOI-375 d,TOI-375,13.6,1.21,445.59542661,1.402,,434.0,5.96,0.984,297.9,,5259.9,2.9,1.441,Radial Velocity,2026.0,Multiple Observatories,396.213,Gas Giant
TOI-3757 b,TOI-3757,12.0,1.07057014,85.3,0.26838381,0.14,759.0,55.4,0.03845,3.438753,M0 V,3913.0,0.62,0.64,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),181.139,Gas Giant
TOI-3785 b,TOI-3785,5.14,0.45856088,14.95,0.04703796,0.11,582.0,19.1,0.043,4.6747373,M2 V,3576.0,0.5,0.52,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),79.7634,Neptunian
TOI-3807 b,TOI-3807,18.49481816,1.65,330.54154328,1.04,0.0,1646.0,1230.0,0.0421,2.8989727,,5772.0,1.468,1.181,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),421.745,Gas Giant
TOI-3819 b,TOI-3819,13.13692538,1.172,352.78953177,1.11,0.0,1633.0,1186.0,0.04611,3.2443141,,5859.0,1.538,1.242,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),558.141,Gas Giant
TOI-3837 b,TOI-3837,10.87271128,0.97,187.51876013,0.59,0.221,1178.0,138.065,0.099,11.88865,,5905.0,1.2,0.89,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),311.705,Gas Giant
TOI-3856 b,TOI-3856,13.59649359,1.213,171.62733978,0.54,0.083,1544.0,949.0,0.0325,2.04360352,,5622.0,1.055,1.096,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),314.443,Gas Giant
TOI-3862 b,TOI-3862,5.53,0.493,53.7,0.1688,0.0232,1539.0,358.839,0.02539,1.55745774,,5300.0,0.92,0.9,Transit,2026.0,Transiting Exoplanet Survey Satellite (TESS),249.02,Neptunian
TOI-3877 b,TOI-3877,11.67975789,1.042,99.7981198,0.314,0.22,1445.0,729.0,0.0529,4.123596,,5731.0,1.445,1.16,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),493.77,Gas Giant
TOI-3884 b,TOI-3884,6.43,0.57364716,32.59,0.10253961,0.06,441.0,6.29,0.0361,4.5445828,M4,3180.0,0.302,0.298,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),43.1448,Gas Giant
TOI-3894 b,TOI-3894,15.27784069,1.363,260.61929374,0.82,0.05,1531.0,546.903,0.05354,4.33454,,6000.0,1.502,1.138,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),417.365,Gas Giant
TOI-3912 b,TOI-3912,14.28024141,1.274,129.03833324,0.406,0.0,1512.0,872.2,0.0463,3.4936264,,5725.0,1.392,1.088,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),465.992,Gas Giant
TOI-3919 b,TOI-3919,12.31866979,1.099,1233.17421916,3.88,0.259,1198.0,184.322,0.0795,7.433234,,6100.0,1.319,1.208,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),604.591,Gas Giant
TOI-3976 A b,TOI-3976 A,12.27383387,1.095,55.61997123,0.175,0.0,1295.0,469.0,0.0743,6.607662,,5975.0,1.501,1.254,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),516.087,Gas Giant
TOI-3980 b,TOI-3980,14.4595851,1.29,187.51876013,0.59,0.16,1621.0,1153.0,0.0494,3.6089254,,5840.0,1.626,1.24,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),486.721,Gas Giant
TOI-3984 A b,TOI-3984 A,7.9,0.71,44.0,0.14,0.23,563.0,16.7,0.041,4.353326,M4+/-0.5,3476.0,0.47,0.49,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),108.883,Gas Giant
TOI-4010 b,TOI-4010,3.02,0.26942682,11.0,0.03460987,0.03,1441.0,714.0,0.0229,1.348335,K V,4960.0,0.83,0.88,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),177.504,Neptunian
TOI-4010 c,TOI-4010,5.93,0.52904008,20.31,0.06390241,0.03,907.0,112.0,0.058,5.414654,K V,4960.0,0.83,0.88,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),177.504,Neptunian
TOI-4010 d,TOI-4010,6.18,0.55134362,38.15,0.12003332,0.07,650.0,30.0,0.113,14.70886,K V,4960.0,0.83,0.88,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),177.504,Gas Giant
TOI-4010 e,TOI-4010,13.3,1.19,692.0,2.17727549,0.26,174.0,0.15,1.57,762.0,K V,4960.0,0.83,0.88,Radial Velocity,2023.0,Roque de los Muchachos Observatory,177.504,Gas Giant
TOI-406 c,TOI-406,1.32,0.11776272,2.08,0.00654441,0.032,584.0,19.0,0.0322,3.307441,M3,3392.0,0.41,0.408,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),31.0597,Terrestrial
TOI-406.01,TOI-406,2.08,0.18556549,6.57,0.02067153,0.056,368.0,3.0,0.0809,13.175682,M3,3392.0,0.41,0.408,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),31.0597,Super-Earth
TOI-4087 b,TOI-4087,13.04725353,1.164,232.01473711,0.73,0.0,1458.0,753.9,0.04469,3.1774835,,6060.0,1.112,1.178,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),301.676,Gas Giant
TOI-411 b,HD 22946,1.362,0.12150971,13.71,0.04313648,0.126,1241.0,495.139,0.05727,4.040295,F7/F8V,6169.0,1.117,1.098,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),62.7792,Terrestrial
TOI-411 c,HD 22946,2.328,0.20769061,9.72,0.03058254,0.16,931.0,156.75,0.1017,9.573083,F7/F8V,6169.0,1.117,1.098,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),62.7792,Super-Earth
TOI-4127 b,TOI-4127,12.28504285,1.096,731.0053361,2.3,0.7471,605.1,22.3,0.3081,56.39879,F V,6096.0,1.293,1.23,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),319.632,Gas Giant
TOI-4137 b,TOI-4137,13.57407563,1.211,457.67290608,1.44,0.0,1570.0,1013.0,0.05222,3.8016122,,6202.0,1.438,1.313,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),334.993,Gas Giant
TOI-4145 A b,TOI-4145 A,13.30506009,1.187,136.66621501,0.43,0.0,1074.0,223.0,0.04823,4.0664428,,5281.0,0.859,0.905,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),205.387,Gas Giant
TOI-4153 b,TOI-4153,16.11851425,1.438,365.50266805,1.15,0.039,1669.0,1212.0072,0.06311,4.6174141,,6860.0,1.605,1.572,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),423.84,Gas Giant
TOI-4184 b,TOI-4184,2.43,0.21679045,6.48,0.0204,,412.0,4.8,0.0336,4.9019804,M5.5+/-0.5,3238.0,0.2347,0.2109,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),69.3649,Super-Earth
TOI-4201 b,TOI-4201,13.67495645,1.22,788.21444936,2.48,0.041,725.0,45.2,0.04,3.5819194,M1.0+/-0.5,3794.0,0.63,0.61,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),189.011,Gas Giant
TOI-421 b,TOI-421,2.64,0.23552543,6.7,0.02108056,0.13,922.0,154.57,0.0554,5.197576,G9 V,5291.0,0.866,0.833,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),74.7969,Neptunian
TOI-421 c,TOI-421,5.09,0.45410017,14.1,0.04436356,0.19,635.0,34.32,0.117,16.067541,G9 V,5291.0,0.866,0.833,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),74.7969,Neptunian
TOI-4214 b,TOI-4214,10.68215861,0.953,165.27077164,0.52,0.17,1642.0,1210.0,0.05018,3.4913885,,6370.0,1.434,1.382,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),346.881,Gas Giant
TOI-431 b,TOI-431,1.28,0.11419415,3.07,0.0096593,0.0,1862.0,2120.4475,0.0113,0.490047,,4850.0,0.731,0.78,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),32.5686,Terrestrial
TOI-431 c,TOI-431,1.49,0.133,2.83,0.00890418,0.0,867.0,,0.052,4.8494,,4850.0,0.731,0.78,Radial Velocity,2021.0,La Silla Observatory,32.5686,Terrestrial
TOI-431 d,TOI-431,3.29,0.29351465,9.9,0.03114888,0.0,633.0,28.3588,0.098,12.46103,,4850.0,0.731,0.78,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),32.5686,Neptunian
TOI-4336 A b,TOI-4336 A,2.137,0.1906507,3.33,0.01047735,0.0,309.4,1.53,0.0849,16.336351,M3.5 V,3307.0,0.326,0.306,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),22.5455,Super-Earth
TOI-4336 A c,TOI-4336 A,1.251,0.11160694,1.55,0.00487685,0.0,399.5,4.24,0.05092,7.587266,M3.5 V,3307.0,0.326,0.306,Transit,2026.0,Multiple Observatories,22.5455,Terrestrial
TOI-4342 b,TOI-4342,2.329,0.20777982,7.3,0.02296837,0.0,639.0,27.8,0.0519,5.5382592,M0 V,3866.0,0.598,0.587,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),61.5204,Super-Earth
TOI-4342 c,TOI-4342,2.349,0.2095641,4.8,0.01510249,0.0,514.0,11.6,0.0804,10.688662,M0 V,3866.0,0.598,0.587,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),61.5204,Super-Earth
TOI-4364 b,TOI-4364,2.01,0.1793205,4.7,0.0148,0.29,488.0,13.3328,0.04753,5.424019,M4 V,3528.0,0.4684,0.487,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),43.9662,Super-Earth
TOI-4377 b,TOI-4377,15.10970598,1.348,304.1617855,0.957,0.045,1162.08,430.9826,0.0579,4.378081,,4974.0,3.52,1.36,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),455.82,Gas Giant
TOI-4406 b,TOI-4406,11.2089807,1.0,95.3485221,0.3,0.15,904.0,58.0054,0.201,30.08364,,6219.0,1.29,1.19,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),261.834,Gas Giant
TOI-4438 b,TOI-4438,2.52,0.22481973,5.4,0.0169903,0.14,435.0,6.0,0.0534,7.44628,M3.5 V,3422.0,0.372,0.368,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),30.0346,Neptunian
TOI-444 b,TOI-444,2.77,0.24712327,8.1,0.0255,,609.0,23.4694,0.133,17.9636,K1/2 V,5225.0,0.779,0.96,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),57.3973,Neptunian
TOI-4443.01,TOI-4443,1.7193265,0.15322184,3.6,0.0113,,1638.82,1194.2104,0.029962645,1.8498567,,5834.0,1.01733,1.049133,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),56.0739,Super-Earth
TOI-4463 A b,TOI-4463 A,13.26022417,1.183,252.35575516,0.794,0.0,1395.0,633.0,0.04036,2.8807198,,5640.0,1.062,1.056,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),173.117,Gas Giant
TOI-4465 b,TOI-4465,14.01122587,1.25,1872.00931723,5.89,0.24,427.0,130.528,0.416,101.94054,G V,5545.0,1.014,0.93,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),121.139,Gas Giant
TOI-4479 b,TOI-4479,2.82,0.25158398,8.35,0.0263,,861.0,92.5,0.0164,1.1589,M3.0,3400.0,0.451,0.452,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),80.6532,Neptunian
TOI-4487 A b,TOI-4487 A,14.60530185,1.303,397.28550875,1.25,0.083,1639.0,1203.0,0.05448,3.9540709,,6206.0,1.634,1.378,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),479.145,Gas Giant
